,img_id,img_name,img_path,category_id,label,img_set,label2,category_id2,label_same,category_id_same
34,image_00224,image_00224.jpg,jpg/image_00224.jpg,76.0,passion flower,train,passion flower,76.0,True,True
49,image_00228,image_00228.jpg,jpg/image_00228.jpg,76.0,passion flower,train,passion flower,76.0,True,True
159,image_00267,image_00267.jpg,jpg/image_00267.jpg,72.0,water lily,train,water lily,72.0,True,True
148,image_00279,image_00279.jpg,jpg/image_00279.jpg,72.0,water lily,train,water lily,72.0,True,True
141,image_00283,image_00283.jpg,jpg/image_00283.jpg,72.0,water lily,train,water lily,72.0,True,True
195,image_00313,image_00313.jpg,jpg/image_00313.jpg,72.0,water lily,train,water lily,72.0,True,True
138,image_00323,image_00323.jpg,jpg/image_00323.jpg,72.0,water lily,train,water lily,72.0,True,True
152,image_00333,image_00333.jpg,jpg/image_00333.jpg,72.0,water lily,train,water lily,72.0,True,True
198,image_00347,image_00347.jpg,jpg/image_00347.jpg,72.0,water lily,train,water lily,72.0,True,True
214,image_00365,image_00365.jpg,jpg/image_00365.jpg,72.0,water lily,train,water lily,72.0,True,True
171,image_00370,image_00370.jpg,jpg/image_00370.jpg,72.0,water lily,train,water lily,72.0,True,True
153,image_00387,image_00387.jpg,jpg/image_00387.jpg,72.0,water lily,train,water lily,72.0,True,True
218,image_00391,image_00391.jpg,jpg/image_00391.jpg,72.0,water lily,train,water lily,72.0,True,True
132,image_00394,image_00394.jpg,jpg/image_00394.jpg,72.0,water lily,train,water lily,72.0,True,True
194,image_00417,image_00417.jpg,jpg/image_00417.jpg,72.0,water lily,train,water lily,72.0,True,True
212,image_00421,image_00421.jpg,jpg/image_00421.jpg,72.0,water lily,train,water lily,72.0,True,True
180,image_00437,image_00437.jpg,jpg/image_00437.jpg,72.0,water lily,train,water lily,72.0,True,True
197,image_00443,image_00443.jpg,jpg/image_00443.jpg,72.0,water lily,train,water lily,72.0,True,True
290,image_00457,image_00457.jpg,jpg/image_00457.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
275,image_00461,image_00461.jpg,jpg/image_00461.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
298,image_00463,image_00463.jpg,jpg/image_00463.jpg,87.0,cyclamen,train,fire lily,87.0,False,True
289,image_00475,image_00475.jpg,jpg/image_00475.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
294,image_00481,image_00481.jpg,jpg/image_00481.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
236,image_00483,image_00483.jpg,jpg/image_00483.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
244,image_00488,image_00488.jpg,jpg/image_00488.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
251,image_00494,image_00494.jpg,jpg/image_00494.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
233,image_00505,image_00505.jpg,jpg/image_00505.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
225,image_00511,image_00511.jpg,jpg/image_00511.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
283,image_00540,image_00540.jpg,jpg/image_00540.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
268,image_00557,image_00557.jpg,jpg/image_00557.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
243,image_00559,image_00559.jpg,jpg/image_00559.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
260,image_00569,image_00569.jpg,jpg/image_00569.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
272,image_00570,image_00570.jpg,jpg/image_00570.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
267,image_00571,image_00571.jpg,jpg/image_00571.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
256,image_00573,image_00573.jpg,jpg/image_00573.jpg,87.0,cyclamen,train,cyclamen,87.0,True,True
235,image_00590,image_00590.jpg,jpg/image_00590.jpg,87.0,cyclamen,train,siam tulip,87.0,False,True
390,image_00598,image_00598.jpg,jpg/image_00598.jpg,88.0,watercress,train,globe-flower,88.0,False,True
308,image_00600,image_00600.jpg,jpg/image_00600.jpg,88.0,watercress,train,cape flower,88.0,False,True
300,image_00604,image_00604.jpg,jpg/image_00604.jpg,88.0,watercress,train,globe-flower,88.0,False,True
359,image_00622,image_00622.jpg,jpg/image_00622.jpg,88.0,watercress,train,globe-flower,88.0,False,True
347,image_00648,image_00648.jpg,jpg/image_00648.jpg,88.0,watercress,train,marigold,88.0,False,True
328,image_00651,image_00651.jpg,jpg/image_00651.jpg,88.0,watercress,train,cape flower,88.0,False,True
330,image_00709,image_00709.jpg,jpg/image_00709.jpg,88.0,watercress,train,globe-flower,88.0,False,True
315,image_00714,image_00714.jpg,jpg/image_00714.jpg,88.0,watercress,train,marigold,88.0,False,True
335,image_00718,image_00718.jpg,jpg/image_00718.jpg,88.0,watercress,train,cape flower,88.0,False,True
327,image_00759,image_00759.jpg,jpg/image_00759.jpg,88.0,watercress,train,globe-flower,88.0,False,True
366,image_00773,image_00773.jpg,jpg/image_00773.jpg,88.0,watercress,train,marigold,88.0,False,True
440,image_00781,image_00781.jpg,jpg/image_00781.jpg,80.0,frangipani,train,frangipani,80.0,True,True
430,image_00790,image_00790.jpg,jpg/image_00790.jpg,80.0,frangipani,train,frangipani,80.0,True,True
397,image_00792,image_00792.jpg,jpg/image_00792.jpg,80.0,frangipani,train,frangipani,80.0,True,True
417,image_00815,image_00815.jpg,jpg/image_00815.jpg,80.0,frangipani,train,frangipani,80.0,True,True
403,image_00833,image_00833.jpg,jpg/image_00833.jpg,80.0,frangipani,train,frangipani,80.0,True,True
461,image_00838,image_00838.jpg,jpg/image_00838.jpg,80.0,frangipani,train,frangipani,80.0,True,True
443,image_00851,image_00851.jpg,jpg/image_00851.jpg,80.0,frangipani,train,frangipani,80.0,True,True
450,image_00854,image_00854.jpg,jpg/image_00854.jpg,80.0,frangipani,train,frangipani,80.0,True,True
462,image_00863,image_00863.jpg,jpg/image_00863.jpg,80.0,frangipani,train,frangipani,80.0,True,True
392,image_00873,image_00873.jpg,jpg/image_00873.jpg,80.0,frangipani,train,frangipani,80.0,True,True
451,image_00876,image_00876.jpg,jpg/image_00876.jpg,80.0,frangipani,train,frangipani,80.0,True,True
411,image_00888,image_00888.jpg,jpg/image_00888.jpg,80.0,frangipani,train,frangipani,80.0,True,True
398,image_00901,image_00901.jpg,jpg/image_00901.jpg,80.0,frangipani,train,frangipani,80.0,True,True
424,image_00917,image_00917.jpg,jpg/image_00917.jpg,80.0,frangipani,train,frangipani,80.0,True,True
420,image_00925,image_00925.jpg,jpg/image_00925.jpg,80.0,frangipani,train,frangipani,80.0,True,True
419,image_00929,image_00929.jpg,jpg/image_00929.jpg,80.0,frangipani,train,frangipani,80.0,True,True
477,image_00947,image_00947.jpg,jpg/image_00947.jpg,45.0,wallflower,train,wallflower,45.0,True,True
570,image_00950,image_00950.jpg,jpg/image_00950.jpg,45.0,wallflower,train,wallflower,45.0,True,True
536,image_00951,image_00951.jpg,jpg/image_00951.jpg,45.0,wallflower,train,wallflower,45.0,True,True
556,image_00952,image_00952.jpg,jpg/image_00952.jpg,45.0,wallflower,train,wallflower,45.0,True,True
568,image_00967,image_00967.jpg,jpg/image_00967.jpg,45.0,wallflower,train,wallflower,45.0,True,True
503,image_00982,image_00982.jpg,jpg/image_00982.jpg,45.0,wallflower,train,wallflower,45.0,True,True
493,image_01006,image_01006.jpg,jpg/image_01006.jpg,45.0,wallflower,train,wallflower,45.0,True,True
539,image_01019,image_01019.jpg,jpg/image_01019.jpg,45.0,wallflower,train,bishop of llandaff,45.0,False,True
488,image_01040,image_01040.jpg,jpg/image_01040.jpg,45.0,wallflower,train,pelargonium,45.0,False,True
517,image_01046,image_01046.jpg,jpg/image_01046.jpg,45.0,wallflower,train,pelargonium,45.0,False,True
564,image_01074,image_01074.jpg,jpg/image_01074.jpg,45.0,wallflower,train,wallflower,45.0,True,True
498,image_01082,image_01082.jpg,jpg/image_01082.jpg,45.0,wallflower,train,wallflower,45.0,True,True
531,image_01086,image_01086.jpg,jpg/image_01086.jpg,45.0,wallflower,train,wallflower,45.0,True,True
476,image_01093,image_01093.jpg,jpg/image_01093.jpg,45.0,wallflower,train,wallflower,45.0,True,True
516,image_01095,image_01095.jpg,jpg/image_01095.jpg,45.0,wallflower,train,wallflower,45.0,True,True
549,image_01112,image_01112.jpg,jpg/image_01112.jpg,45.0,wallflower,train,wallflower,45.0,True,True
534,image_01117,image_01117.jpg,jpg/image_01117.jpg,45.0,wallflower,train,trumpet creeper,45.0,False,True
546,image_01127,image_01127.jpg,jpg/image_01127.jpg,45.0,wallflower,train,wallflower,45.0,True,True
572,image_01131,image_01131.jpg,jpg/image_01131.jpg,45.0,wallflower,train,wallflower,45.0,True,True
560,image_01134,image_01134.jpg,jpg/image_01134.jpg,45.0,wallflower,train,wallflower,45.0,True,True
507,image_01136,image_01136.jpg,jpg/image_01136.jpg,45.0,wallflower,train,cautleya spicata,45.0,False,True
636,image_01151,image_01151.jpg,jpg/image_01151.jpg,73.0,rose,train,rose,73.0,True,True
634,image_01156,image_01156.jpg,jpg/image_01156.jpg,73.0,rose,train,rose,73.0,True,True
596,image_01164,image_01164.jpg,jpg/image_01164.jpg,73.0,rose,train,rose,73.0,True,True
599,image_01180,image_01180.jpg,jpg/image_01180.jpg,73.0,rose,train,rose,73.0,True,True
611,image_01187,image_01187.jpg,jpg/image_01187.jpg,73.0,rose,train,rose,73.0,True,True
640,image_01212,image_01212.jpg,jpg/image_01212.jpg,73.0,rose,train,rose,73.0,True,True
590,image_01222,image_01222.jpg,jpg/image_01222.jpg,73.0,rose,train,rose,73.0,True,True
594,image_01250,image_01250.jpg,jpg/image_01250.jpg,73.0,rose,train,rose,73.0,True,True
595,image_01263,image_01263.jpg,jpg/image_01263.jpg,73.0,rose,train,rose,73.0,True,True
655,image_01270,image_01270.jpg,jpg/image_01270.jpg,73.0,rose,train,rose,73.0,True,True
597,image_01271,image_01271.jpg,jpg/image_01271.jpg,73.0,rose,train,rose,73.0,True,True
626,image_01280,image_01280.jpg,jpg/image_01280.jpg,73.0,rose,train,siam tulip,73.0,False,True
630,image_01285,image_01285.jpg,jpg/image_01285.jpg,73.0,rose,train,rose,73.0,True,True
651,image_01288,image_01288.jpg,jpg/image_01288.jpg,73.0,rose,train,rose,73.0,True,True
647,image_01289,image_01289.jpg,jpg/image_01289.jpg,73.0,rose,train,rose,73.0,True,True
652,image_01292,image_01292.jpg,jpg/image_01292.jpg,73.0,rose,train,rose,73.0,True,True
648,image_01299,image_01299.jpg,jpg/image_01299.jpg,73.0,rose,train,rose,73.0,True,True
659,image_01334,image_01334.jpg,jpg/image_01334.jpg,50.0,petunia,train,geranium,50.0,False,True
704,image_01353,image_01353.jpg,jpg/image_01353.jpg,50.0,petunia,train,petunia,50.0,True,True
761,image_01355,image_01355.jpg,jpg/image_01355.jpg,50.0,petunia,train,petunia,50.0,True,True
743,image_01364,image_01364.jpg,jpg/image_01364.jpg,50.0,petunia,train,geranium,50.0,False,True
688,image_01376,image_01376.jpg,jpg/image_01376.jpg,50.0,petunia,train,mexican petunia,50.0,False,True
685,image_01388,image_01388.jpg,jpg/image_01388.jpg,50.0,petunia,train,thorn apple,50.0,False,True
755,image_01391,image_01391.jpg,jpg/image_01391.jpg,50.0,petunia,train,canterbury bells,50.0,False,True
770,image_01395,image_01395.jpg,jpg/image_01395.jpg,50.0,petunia,train,cape flower,50.0,False,True
712,image_01404,image_01404.jpg,jpg/image_01404.jpg,50.0,petunia,train,silverbush,50.0,False,True
785,image_01406,image_01406.jpg,jpg/image_01406.jpg,50.0,petunia,train,silverbush,50.0,False,True
680,image_01420,image_01420.jpg,jpg/image_01420.jpg,50.0,petunia,train,cape flower,50.0,False,True
753,image_01428,image_01428.jpg,jpg/image_01428.jpg,50.0,petunia,train,cape flower,50.0,False,True
666,image_01447,image_01447.jpg,jpg/image_01447.jpg,50.0,petunia,train,pink primrose,50.0,False,True
744,image_01455,image_01455.jpg,jpg/image_01455.jpg,50.0,petunia,train,silverbush,50.0,False,True
699,image_01470,image_01470.jpg,jpg/image_01470.jpg,50.0,petunia,train,cape flower,50.0,False,True
732,image_01478,image_01478.jpg,jpg/image_01478.jpg,50.0,petunia,train,silverbush,50.0,False,True
740,image_01488,image_01488.jpg,jpg/image_01488.jpg,50.0,petunia,train,canterbury bells,50.0,False,True
820,image_01492,image_01492.jpg,jpg/image_01492.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
788,image_01493,image_01493.jpg,jpg/image_01493.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
825,image_01502,image_01502.jpg,jpg/image_01502.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
789,image_01507,image_01507.jpg,jpg/image_01507.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
808,image_01514,image_01514.jpg,jpg/image_01514.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
802,image_01516,image_01516.jpg,jpg/image_01516.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
797,image_01520,image_01520.jpg,jpg/image_01520.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
831,image_01524,image_01524.jpg,jpg/image_01524.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
812,image_01526,image_01526.jpg,jpg/image_01526.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
810,image_01534,image_01534.jpg,jpg/image_01534.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
799,image_01544,image_01544.jpg,jpg/image_01544.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
805,image_01546,image_01546.jpg,jpg/image_01546.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
826,image_01554,image_01554.jpg,jpg/image_01554.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
819,image_01564,image_01564.jpg,jpg/image_01564.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
796,image_01568,image_01568.jpg,jpg/image_01568.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
813,image_01579,image_01579.jpg,jpg/image_01579.jpg,43.0,poinsettia,train,poinsettia,43.0,True,True
885,image_01591,image_01591.jpg,jpg/image_01591.jpg,81.0,clematis,train,bolero deep blue,81.0,False,True
857,image_01598,image_01598.jpg,jpg/image_01598.jpg,81.0,clematis,train,clematis,81.0,True,True
889,image_01599,image_01599.jpg,jpg/image_01599.jpg,81.0,clematis,train,clematis,81.0,True,True
888,image_01609,image_01609.jpg,jpg/image_01609.jpg,81.0,clematis,train,clematis,81.0,True,True
874,image_01617,image_01617.jpg,jpg/image_01617.jpg,81.0,clematis,train,bolero deep blue,81.0,False,True
862,image_01624,image_01624.jpg,jpg/image_01624.jpg,81.0,clematis,train,clematis,81.0,True,True
853,image_01630,image_01630.jpg,jpg/image_01630.jpg,81.0,clematis,train,clematis,81.0,True,True
860,image_01631,image_01631.jpg,jpg/image_01631.jpg,81.0,clematis,train,clematis,81.0,True,True
836,image_01635,image_01635.jpg,jpg/image_01635.jpg,81.0,clematis,train,windflower,81.0,False,True
873,image_01639,image_01639.jpg,jpg/image_01639.jpg,81.0,clematis,train,clematis,81.0,True,True
847,image_01640,image_01640.jpg,jpg/image_01640.jpg,81.0,clematis,train,clematis,81.0,True,True
850,image_01644,image_01644.jpg,jpg/image_01644.jpg,81.0,clematis,train,clematis,81.0,True,True
854,image_01650,image_01650.jpg,jpg/image_01650.jpg,81.0,clematis,train,clematis,81.0,True,True
845,image_01661,image_01661.jpg,jpg/image_01661.jpg,81.0,clematis,train,clematis,81.0,True,True
846,image_01668,image_01668.jpg,jpg/image_01668.jpg,81.0,clematis,train,clematis,81.0,True,True
838,image_01671,image_01671.jpg,jpg/image_01671.jpg,81.0,clematis,train,clematis,81.0,True,True
855,image_01676,image_01676.jpg,jpg/image_01676.jpg,81.0,clematis,train,clematis,81.0,True,True
883,image_01685,image_01685.jpg,jpg/image_01685.jpg,81.0,clematis,train,clematis,81.0,True,True
871,image_01694,image_01694.jpg,jpg/image_01694.jpg,81.0,clematis,train,clematis,81.0,True,True
912,image_01696,image_01696.jpg,jpg/image_01696.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
935,image_01716,image_01716.jpg,jpg/image_01716.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
951,image_01725,image_01725.jpg,jpg/image_01725.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
911,image_01742,image_01742.jpg,jpg/image_01742.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
896,image_01763,image_01763.jpg,jpg/image_01763.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
940,image_01767,image_01767.jpg,jpg/image_01767.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
899,image_01773,image_01773.jpg,jpg/image_01773.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
949,image_01777,image_01777.jpg,jpg/image_01777.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
921,image_01780,image_01780.jpg,jpg/image_01780.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
898,image_01792,image_01792.jpg,jpg/image_01792.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
934,image_01793,image_01793.jpg,jpg/image_01793.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
947,image_01797,image_01797.jpg,jpg/image_01797.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
931,image_01803,image_01803.jpg,jpg/image_01803.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
897,image_01808,image_01808.jpg,jpg/image_01808.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
925,image_01813,image_01813.jpg,jpg/image_01813.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
900,image_01823,image_01823.jpg,jpg/image_01823.jpg,82.0,hibiscus,train,hibiscus,82.0,True,True
1007,image_01828,image_01828.jpg,jpg/image_01828.jpg,77.0,lotus,train,lotus,77.0,True,True
1004,image_01834,image_01834.jpg,jpg/image_01834.jpg,77.0,lotus,train,lotus,77.0,True,True
974,image_01843,image_01843.jpg,jpg/image_01843.jpg,77.0,lotus,train,lotus,77.0,True,True
998,image_01848,image_01848.jpg,jpg/image_01848.jpg,77.0,lotus,train,lotus,77.0,True,True
1012,image_01850,image_01850.jpg,jpg/image_01850.jpg,77.0,lotus,train,siam tulip,77.0,False,True
1011,image_01853,image_01853.jpg,jpg/image_01853.jpg,77.0,lotus,train,lotus,77.0,True,True
1005,image_01864,image_01864.jpg,jpg/image_01864.jpg,77.0,lotus,train,lotus,77.0,True,True
966,image_01866,image_01866.jpg,jpg/image_01866.jpg,77.0,lotus,train,lotus,77.0,True,True
1002,image_01879,image_01879.jpg,jpg/image_01879.jpg,77.0,lotus,train,lotus,77.0,True,True
979,image_01894,image_01894.jpg,jpg/image_01894.jpg,77.0,lotus,train,lotus,77.0,True,True
962,image_01896,image_01896.jpg,jpg/image_01896.jpg,77.0,lotus,train,lotus,77.0,True,True
961,image_01909,image_01909.jpg,jpg/image_01909.jpg,77.0,lotus,train,lotus,77.0,True,True
980,image_01915,image_01915.jpg,jpg/image_01915.jpg,77.0,lotus,train,lotus,77.0,True,True
981,image_01925,image_01925.jpg,jpg/image_01925.jpg,77.0,lotus,train,lotus,77.0,True,True
1013,image_01930,image_01930.jpg,jpg/image_01930.jpg,77.0,lotus,train,lotus,77.0,True,True
996,image_01937,image_01937.jpg,jpg/image_01937.jpg,77.0,lotus,train,lotus,77.0,True,True
991,image_01946,image_01946.jpg,jpg/image_01946.jpg,77.0,lotus,train,lotus,77.0,True,True
1066,image_01964,image_01964.jpg,jpg/image_01964.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1055,image_01975,image_01975.jpg,jpg/image_01975.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1035,image_01977,image_01977.jpg,jpg/image_01977.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1051,image_01992,image_01992.jpg,jpg/image_01992.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1033,image_02012,image_02012.jpg,jpg/image_02012.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1075,image_02035,image_02035.jpg,jpg/image_02035.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1073,image_02041,image_02041.jpg,jpg/image_02041.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1043,image_02047,image_02047.jpg,jpg/image_02047.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1044,image_02049,image_02049.jpg,jpg/image_02049.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1074,image_02050,image_02050.jpg,jpg/image_02050.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1049,image_02058,image_02058.jpg,jpg/image_02058.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1025,image_02059,image_02059.jpg,jpg/image_02059.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1061,image_02062,image_02062.jpg,jpg/image_02062.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1034,image_02064,image_02064.jpg,jpg/image_02064.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1030,image_02065,image_02065.jpg,jpg/image_02065.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1072,image_02066,image_02066.jpg,jpg/image_02066.jpg,79.0,anthurium,train,anthurium,79.0,True,True
1109,image_02080,image_02080.jpg,jpg/image_02080.jpg,74.0,thorn apple,train,desert-rose,74.0,False,True
1082,image_02091,image_02091.jpg,jpg/image_02091.jpg,74.0,thorn apple,train,thorn apple,74.0,True,True
1105,image_02099,image_02099.jpg,jpg/image_02099.jpg,74.0,thorn apple,train,thorn apple,74.0,True,True
1123,image_02106,image_02106.jpg,jpg/image_02106.jpg,74.0,thorn apple,train,thorn apple,74.0,True,True
1127,image_02128,image_02128.jpg,jpg/image_02128.jpg,74.0,thorn apple,train,thorn apple,74.0,True,True
1120,image_02147,image_02147.jpg,jpg/image_02147.jpg,74.0,thorn apple,train,thorn apple,74.0,True,True
1096,image_02164,image_02164.jpg,jpg/image_02164.jpg,74.0,thorn apple,train,thorn apple,74.0,True,True
1099,image_02165,image_02165.jpg,jpg/image_02165.jpg,74.0,thorn apple,train,thorn apple,74.0,True,True
1111,image_02170,image_02170.jpg,jpg/image_02170.jpg,74.0,thorn apple,train,thorn apple,74.0,True,True
1103,image_02176,image_02176.jpg,jpg/image_02176.jpg,74.0,thorn apple,train,thorn apple,74.0,True,True
1119,image_02179,image_02179.jpg,jpg/image_02179.jpg,74.0,thorn apple,train,giant white arum lily,74.0,False,True
1128,image_02180,image_02180.jpg,jpg/image_02180.jpg,74.0,thorn apple,train,thorn apple,74.0,True,True
1112,image_02184,image_02184.jpg,jpg/image_02184.jpg,74.0,thorn apple,train,thorn apple,74.0,True,True
1160,image_02223,image_02223.jpg,jpg/image_02223.jpg,40.0,barbeton daisy,train,barbeton daisy,40.0,True,True
1184,image_02233,image_02233.jpg,jpg/image_02233.jpg,40.0,barbeton daisy,train,barbeton daisy,40.0,True,True
1161,image_02235,image_02235.jpg,jpg/image_02235.jpg,40.0,barbeton daisy,train,osteospermum,40.0,False,True
1141,image_02239,image_02239.jpg,jpg/image_02239.jpg,40.0,barbeton daisy,train,barbeton daisy,40.0,True,True
1188,image_02252,image_02252.jpg,jpg/image_02252.jpg,40.0,barbeton daisy,train,barbeton daisy,40.0,True,True
1175,image_02277,image_02277.jpg,jpg/image_02277.jpg,40.0,barbeton daisy,train,barbeton daisy,40.0,True,True
1170,image_02282,image_02282.jpg,jpg/image_02282.jpg,40.0,barbeton daisy,train,orange dahlia,40.0,False,True
1194,image_02283,image_02283.jpg,jpg/image_02283.jpg,40.0,barbeton daisy,train,barbeton daisy,40.0,True,True
1142,image_02289,image_02289.jpg,jpg/image_02289.jpg,40.0,barbeton daisy,train,osteospermum,40.0,False,True
1191,image_02290,image_02290.jpg,jpg/image_02290.jpg,40.0,barbeton daisy,train,barbeton daisy,40.0,True,True
1190,image_02293,image_02293.jpg,jpg/image_02293.jpg,40.0,barbeton daisy,train,osteospermum,40.0,False,True
1172,image_02295,image_02295.jpg,jpg/image_02295.jpg,40.0,barbeton daisy,train,barbeton daisy,40.0,True,True
1229,image_02319,image_02319.jpg,jpg/image_02319.jpg,42.0,sword lily,train,siam tulip,42.0,False,True
1249,image_02322,image_02322.jpg,jpg/image_02322.jpg,42.0,sword lily,train,snapdragon,42.0,False,True
1232,image_02352,image_02352.jpg,jpg/image_02352.jpg,42.0,sword lily,train,snapdragon,42.0,False,True
1237,image_02367,image_02367.jpg,jpg/image_02367.jpg,42.0,sword lily,train,siam tulip,42.0,False,True
1242,image_02373,image_02373.jpg,jpg/image_02373.jpg,42.0,sword lily,train,siam tulip,42.0,False,True
1214,image_02375,image_02375.jpg,jpg/image_02375.jpg,42.0,sword lily,train,canterbury bells,42.0,False,True
1246,image_02377,image_02377.jpg,jpg/image_02377.jpg,42.0,sword lily,train,bearded iris,42.0,False,True
1206,image_02390,image_02390.jpg,jpg/image_02390.jpg,42.0,sword lily,train,bolero deep blue,42.0,False,True
1314,image_02450,image_02450.jpg,jpg/image_02450.jpg,75.0,morning glory,train,morning glory,75.0,True,True
1299,image_02462,image_02462.jpg,jpg/image_02462.jpg,75.0,morning glory,train,morning glory,75.0,True,True
1291,image_02474,image_02474.jpg,jpg/image_02474.jpg,75.0,morning glory,train,morning glory,75.0,True,True
1269,image_02480,image_02480.jpg,jpg/image_02480.jpg,75.0,morning glory,train,morning glory,75.0,True,True
1310,image_02482,image_02482.jpg,jpg/image_02482.jpg,75.0,morning glory,train,morning glory,75.0,True,True
1311,image_02488,image_02488.jpg,jpg/image_02488.jpg,75.0,morning glory,train,morning glory,75.0,True,True
1300,image_02495,image_02495.jpg,jpg/image_02495.jpg,75.0,morning glory,train,morning glory,75.0,True,True
